Year,week,value,condition,Type
2015,2015-09-20,31,FAIR,Actual
2015,2015-09-27,27,FAIR,5-Year Avg
2015,2015-09-27,33,FAIR,Actual
2015,2015-10-04,26,FAIR,5-Year Avg
2015,2015-10-04,35,FAIR,Actual
2015,2015-10-11,25,FAIR,5-Year Avg
2015,2015-10-11,35,FAIR,Actual
2015,2015-10-18,26,FAIR,5-Year Avg
2015,2015-10-18,33,FAIR,Actual
2015,2015-10-25,27,FAIR,5-Year Avg
2015,2015-10-25,33,FAIR,Actual
2015,2015-11-01,27,FAIR,5-Year Avg
2015,2015-11-01,33,FAIR,Actual
2015,2015-11-08,26,FAIR,5-Year Avg
2015,2015-11-08,33,FAIR,Actual
2015,2015-06-07,74,GOOD,Actual
2015,2015-06-14,69,GOOD,Actual
2015,2015-06-21,72,GOOD,5-Year Avg
2015,2015-06-21,67,GOOD,Actual
2015,2015-06-28,56,GOOD,5-Year Avg
2015,2015-06-28,65,GOOD,Actual
2015,2015-07-05,47,GOOD,5-Year Avg
2015,2015-07-05,64,GOOD,Actual
2015,2015-07-12,45,GOOD,5-Year Avg
2015,2015-07-12,61,GOOD,Actual
2015,2015-07-19,46,GOOD,5-Year Avg
2015,2015-07-19,60,GOOD,Actual
2015,2015-07-26,45,GOOD,5-Year Avg
2015,2015-07-26,60,GOOD,Actual
2015,2015-08-02,43,GOOD,5-Year Avg
2015,2015-08-02,58,GOOD,Actual
2015,2015-08-09,45,GOOD,5-Year Avg
2015,2015-08-09,59,GOOD,Actual
2015,2015-08-16,50,GOOD,5-Year Avg
2015,2015-08-16,54,GOOD,Actual
2015,2015-08-23,53,GOOD,5-Year Avg
2015,2015-08-23,62,GOOD,Actual
2015,2015-08-30,52,GOOD,5-Year Avg
2015,2015-08-30,57,GOOD,Actual
2015,2015-09-06,53,GOOD,5-Year Avg
2015,2015-09-06,53,GOOD,Actual
2015,2015-09-13,50,GOOD,5-Year Avg
2015,2015-09-13,51,GOOD,Actual
2015,2015-09-20,48,GOOD,5-Year Avg
2015,2015-09-20,50,GOOD,Actual
2015,2015-09-27,49,GOOD,5-Year Avg
2015,2015-09-27,49,GOOD,Actual
2015,2015-10-04,50,GOOD,5-Year Avg
2015,2015-10-04,48,GOOD,Actual
2015,2015-10-11,52,GOOD,5-Year Avg
2015,2015-10-11,47,GOOD,Actual
2015,2015-10-18,51,GOOD,5-Year Avg
2015,2015-10-18,45,GOOD,Actual
2015,2015-10-25,50,GOOD,5-Year Avg
2015,2015-10-25,46,GOOD,Actual
2015,2015-11-01,51,GOOD,5-Year Avg
2015,2015-11-01,44,GOOD,Actual
2015,2015-11-08,52,GOOD,5-Year Avg
2015,2015-11-08,43,GOOD,Actual
2015,2015-06-07,2,POOR,Actual
2015,2015-06-14,2,POOR,Actual
2015,2015-06-21,2,POOR,5-Year Avg
2015,2015-06-21,2,POOR,Actual
2015,2015-06-28,6,POOR,5-Year Avg
2015,2015-06-28,2,POOR,Actual
2015,2015-07-05,11,POOR,5-Year Avg
2015,2015-07-05,2,POOR,Actual
2015,2015-07-12,13,POOR,5-Year Avg
2015,2015-07-12,3,POOR,Actual
2015,2015-07-19,13,POOR,5-Year Avg
2015,2015-07-19,3,POOR,Actual
2015,2015-07-26,14,POOR,5-Year Avg
2015,2015-07-26,3,POOR,Actual
2015,2015-08-02,13,POOR,5-Year Avg
2015,2015-08-02,3,POOR,Actual
2015,2015-08-09,10,POOR,5-Year Avg
2015,2015-08-09,3,POOR,Actual
2015,2015-08-16,9,POOR,5-Year Avg
2015,2015-08-16,4,POOR,Actual
2015,2015-08-23,7,POOR,5-Year Avg
2015,2015-08-23,4,POOR,Actual
2015,2015-08-30,8,POOR,5-Year Avg
2015,2015-08-30,7,POOR,Actual
2015,2015-09-06,7,POOR,5-Year Avg
2015,2015-09-06,10,POOR,Actual
2015,2015-09-13,8,POOR,5-Year Avg
2015,2015-09-13,11,POOR,Actual
2015,2015-09-20,10,POOR,5-Year Avg
2015,2015-09-20,12,POOR,Actual
2015,2015-09-27,9,POOR,5-Year Avg
2015,2015-09-27,13,POOR,Actual
2015,2015-10-04,9,POOR,5-Year Avg
2015,2015-10-04,12,POOR,Actual
2015,2015-10-11,9,POOR,5-Year Avg
2015,2015-10-11,12,POOR,Actual
2015,2015-10-18,8,POOR,5-Year Avg
2015,2015-10-18,13,POOR,Actual
2015,2015-10-25,8,POOR,5-Year Avg
2015,2015-10-25,14,POOR,Actual
2015,2015-11-01,9,POOR,5-Year Avg
2015,2015-11-01,16,POOR,Actual
2015,2015-11-08,9,POOR,5-Year Avg
2015,2015-11-08,16,POOR,Actual
2015,2015-06-07,0,VERY POOR,Actual
2015,2015-06-14,0,VERY POOR,Actual
2015,2015-06-21,0,VERY POOR,5-Year Avg
2015,2015-06-21,0,VERY POOR,Actual
2015,2015-06-28,2,VERY POOR,5-Year Avg
2015,2015-06-28,0,VERY POOR,Actual
2015,2015-07-05,4,VERY POOR,5-Year Avg
2015,2015-07-05,0,VERY POOR,Actual
2015,2015-07-12,4,VERY POOR,5-Year Avg
2015,2015-07-12,0,VERY POOR,Actual
2015,2015-07-19,5,VERY POOR,5-Year Avg
2015,2015-07-19,0,VERY POOR,Actual
2015,2015-07-26,6,VERY POOR,5-Year Avg
2015,2015-07-26,0,VERY POOR,Actual
2015,2015-08-02,6,VERY POOR,5-Year Avg
2015,2015-08-02,0,VERY POOR,Actual
2015,2015-08-09,4,VERY POOR,5-Year Avg
2015,2015-08-09,0,VERY POOR,Actual
2015,2015-08-16,3,VERY POOR,5-Year Avg
2015,2015-08-16,0,VERY POOR,Actual
2015,2015-08-23,3,VERY POOR,5-Year Avg
2015,2015-08-23,0,VERY POOR,Actual
2015,2015-08-30,3,VERY POOR,5-Year Avg
2015,2015-08-30,1,VERY POOR,Actual
2015,2015-09-06,3,VERY POOR,5-Year Avg
2015,2015-09-06,1,VERY POOR,Actual
2015,2015-09-13,4,VERY POOR,5-Year Avg
2015,2015-09-13,1,VERY POOR,Actual
2015,2015-09-20,4,VERY POOR,5-Year Avg
2015,2015-09-20,1,VERY POOR,Actual
2015,2015-09-27,4,VERY POOR,5-Year Avg
2015,2015-09-27,1,VERY POOR,Actual
2015,2015-10-04,4,VERY POOR,5-Year Avg
2015,2015-10-04,1,VERY POOR,Actual
2015,2015-10-11,3,VERY POOR,5-Year Avg
2015,2015-10-11,1,VERY POOR,Actual
2015,2015-10-18,3,VERY POOR,5-Year Avg
2015,2015-10-18,4,VERY POOR,Actual
2015,2015-10-25,4,VERY POOR,5-Year Avg
2015,2015-10-25,4,VERY POOR,Actual
2015,2015-11-01,3,VERY POOR,5-Year Avg
2015,2015-11-01,4,VERY POOR,Actual
2015,2015-11-08,3,VERY POOR,5-Year Avg
2015,2015-11-08,4,VERY POOR,Actual
2016,2016-06-26,10,EXCELLENT,5-Year Avg
2016,2016-06-26,13,EXCELLENT,Actual
2016,2016-07-03,11,EXCELLENT,5-Year Avg
2016,2016-07-03,17,EXCELLENT,Actual
2016,2016-07-10,11,EXCELLENT,5-Year Avg
2016,2016-07-10,15,EXCELLENT,Actual
2016,2016-07-17,12,EXCELLENT,5-Year Avg
2016,2016-07-17,16,EXCELLENT,Actual
2016,2016-07-24,11,EXCELLENT,5-Year Avg
2016,2016-07-24,14,EXCELLENT,Actual
2016,2016-07-31,15,EXCELLENT,5-Year Avg
2016,2016-07-31,14,EXCELLENT,Actual
2016,2016-08-07,16,EXCELLENT,5-Year Avg
2016,2016-08-07,15,EXCELLENT,Actual
2016,2016-08-14,16,EXCELLENT,5-Year Avg
2016,2016-08-14,15,EXCELLENT,Actual
2016,2016-08-21,16,EXCELLENT,5-Year Avg
2016,2016-08-21,15,EXCELLENT,Actual
2016,2016-08-28,12,EXCELLENT,5-Year Avg
2016,2016-08-28,15,EXCELLENT,Actual
2016,2016-09-04,13,EXCELLENT,5-Year Avg
2016,2016-09-04,14,EXCELLENT,Actual
2016,2016-09-11,13,EXCELLENT,5-Year Avg
2016,2016-09-11,13,EXCELLENT,Actual
2016,2016-09-18,13,EXCELLENT,5-Year Avg
2016,2016-09-18,11,EXCELLENT,Actual
2016,2016-09-25,12,EXCELLENT,5-Year Avg
2016,2016-09-25,10,EXCELLENT,Actual
2016,2016-10-02,13,EXCELLENT,5-Year Avg
2016,2016-10-02,11,EXCELLENT,Actual
2016,2016-10-09,11,EXCELLENT,5-Year Avg
2016,2016-10-09,11,EXCELLENT,Actual
2016,2016-10-16,13,EXCELLENT,5-Year Avg
2016,2016-10-16,11,EXCELLENT,Actual
2016,2016-10-23,11,EXCELLENT,5-Year Avg
2016,2016-10-23,11,EXCELLENT,Actual
2016,2016-10-30,10,EXCELLENT,5-Year Avg
2016,2016-10-30,11,EXCELLENT,Actual
2016,2016-11-06,11,EXCELLENT,Actual
2016,2016-06-26,23,FAIR,5-Year Avg
2016,2016-06-26,21,FAIR,Actual
2016,2016-07-03,28,FAIR,5-Year Avg
2016,2016-07-03,19,FAIR,Actual
2016,2016-07-10,26,FAIR,5-Year Avg
2016,2016-07-10,20,FAIR,Actual
2016,2016-07-17,25,FAIR,5-Year Avg
2016,2016-07-17,19,FAIR,Actual
2016,2016-07-24,25,FAIR,5-Year Avg
2016,2016-07-24,23,FAIR,Actual
2016,2016-07-31,26,FAIR,5-Year Avg
2016,2016-07-31,22,FAIR,Actual
2016,2016-08-07,24,FAIR,5-Year Avg
2016,2016-08-07,20,FAIR,Actual
2016,2016-08-14,22,FAIR,5-Year Avg
2016,2016-08-14,20,FAIR,Actual
2016,2016-08-21,20,FAIR,5-Year Avg
2016,2016-08-21,19,FAIR,Actual
